"Rank #3 (Only Reaseach Paper based formula)                                                                                                                                                                                                         The only formula used for sentence scoring is                                                                                                                                                                                               Wnew = Wold + (sd * (1.5*L + 0.2*d + 0.3*e)) / length(Sentence), where                                                                                                                                                 Wnew : New sentence score Wold : Old sentence score                                                                                                                                                                                      sd : standard deviantion of sentence scores                                                                                                                                                                                                            L : Number of legal terms in the sentence                                                                                                                                                                                                                      d : Total count of numeric digits (like year, case number, act, sec, rule etc)                                                                                                                                                      e : number of entities present in the sentences                                                                                                                                                                                                 Note:We haven't given higher tfidf score for the legal terms.All terms tfidf score are given based on their occurence in the document only.        Number of Documents on which scores is calcuated :7090 Documents",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
File Name,Rouge-1 F,Rouge-1 P,Rouge-1 R,Rouge-2 F,Rouge-2 P,Rouge-2 R,Rouge-L F,Rouge-L P,Rouge-L R
,,,,,,,,,
2010_A_38.txt,0.337448555,0.471264368,0.262820513,0.145728639,0.245762712,0.103571429,0.264984616,0.425287356,0.237179487
,,,,,,,,,
2010_A_39.txt,0.365714282,0.695652174,0.248062016,0.225680931,0.557692308,0.141463415,0.242400597,0.630434783,0.224806202
,,,,,,,,,
2010_A_41.txt,0.261744961,0.25,0.274647887,0.103004287,0.101694915,0.104347826,0.240551232,0.230769231,0.253521127
,,,,,,,,,
2010_A_43.txt,0.263157891,0.520833333,0.176056338,0.102739723,0.263157895,0.063829787,0.158657377,0.4375,0.147887324
,,,,,,,,,
2010_A_46.txt,0.150375935,0.204081633,0.119047619,0.024875617,0.037593985,0.018587361,0.126474443,0.193877551,0.113095238
,,,,,,,,,
2010_A_47.txt,0.113378682,0.069060773,0.316455696,0.008185536,0.004823151,0.027027027,0.06587714,0.063535912,0.291139241
,,,,,,,,,
2010_A_48.txt,0.281767951,0.366906475,0.228699552,0.139999996,0.215384615,0.103703704,0.230581279,0.330935252,0.206278027
,,,,,,,,,
2010_A_49.txt,0.309210522,0.408695652,0.248677249,0.14869888,0.223463687,0.111420613,0.201176865,0.295652174,0.17989418
,,,,,,,,,
2010_A_51.txt,0.310344823,0.413793103,0.248275862,0.122905024,0.189655172,0.090909091,0.239110708,0.356321839,0.213793103
,,,,,,,,,
2010_A_52.txt,0.494382017,0.523809524,0.468085106,0.313043473,0.352941176,0.28125,0.468959199,0.5,0.446808511
,,,,,,,,,
2010_A_53.txt,0.180392152,0.255555556,0.139393939,0.023752965,0.043103448,0.016393443,0.142081448,0.233333333,0.127272727
,,,,,,,,,
2010_A_56.txt,0.313725486,0.571428571,0.216216216,0.121794868,0.292307692,0.076923077,0.205161339,0.5,0.189189189
,,,,,,,,,
2010_A_59.txt,0.296577942,0.419354839,0.229411765,0.07537688,0.12195122,0.054545455,0.216728989,0.35483871,0.194117647
,,,,,,,,,
2010_A_6.txt,0.288770051,0.931034483,0.170886076,0.182370819,0.882352941,0.101694915,0.175557443,0.931034483,0.170886076
,,,,,,,,,
2010_A_60.txt,0.283018863,0.32967033,0.247933884,0.084690549,0.106557377,0.07027027,0.217861086,0.263736264,0.198347107
,,,,,,,,,
2010_A_62.txt,0.238859175,0.310185185,0.194202899,0.062015499,0.09221902,0.046715328,0.178181846,0.25462963,0.15942029
,,,,,,,,,
2010_A_63.txt,0.191011231,0.25,0.154545455,0.030418247,0.05,0.021857923,0.13213065,0.191176471,0.118181818
,,,,,,,,,
2010_A_64.txt,0.308988759,0.329341317,0.291005291,0.051457971,0.056603774,0.047169811,0.278777694,0.299401198,0.264550265
,,,,,,,,,
2010_A_65.txt,0.282352937,0.214285714,0.413793103,0.178217817,0.136363636,0.257142857,0.238614035,0.214285714,0.413793103
,,,,,,,,,
2010_A_7.txt,0.303030298,0.23943662,0.412621359,0.113614099,0.092948718,0.146095718,0.245695367,0.21971831,0.378640777
,,,,,,,,,
2010_A_73.txt,0.203448271,0.240816327,0.176119403,0.070070065,0.090909091,0.057003257,0.181137252,0.224489796,0.164179104
,,,,,,,,,
2010_A_79.txt,0.307692303,0.5,0.222222222,0.174698791,0.329545455,0.118852459,0.221705549,0.453125,0.201388889
,,,,,,,,,
2010_A_8.txt,0.199999996,0.333333333,0.142857143,0.080267555,0.162162162,0.053333333,0.141081081,0.3,0.128571429
,,,,,,,,,
2010_A_80.txt,0.302405493,0.297297297,0.307692308,0.166023161,0.182978723,0.151943463,0.281620707,0.277027027,0.286713287
,,,,,,,,,
2010_A_81.txt,0.207920787,0.200956938,0.215384615,0.042879015,0.046052632,0.040114613,0.143220792,0.138755981,0.148717949
,,,,,,,,,
2010_A_86.txt,0.204225348,0.341176471,0.145728643,0.03913894,0.084033613,0.025510204,0.110247255,0.235294118,0.100502513
,,,,,,,,,
2010_A_87.txt,0.379679139,0.417647059,0.348039216,0.165853654,0.1875,0.148688047,0.331464551,0.370588235,0.308823529
,,,,,,,,,
2010_A_9.txt,0.232142852,0.25,0.216666667,0.115501515,0.147286822,0.095,0.220970926,0.240384615,0.208333333
,,,,,,,,,
2010_A_91.txt,0.390361441,0.487951807,0.325301205,0.176623372,0.227424749,0.144373673,0.308777969,0.415662651,0.277108434
,,,,,,,,,
2010_A_92.txt,0.31390134,0.388888889,0.263157895,0.073846149,0.104347826,0.057142857,0.22595231,0.3,0.203007519
,,,,,,,,,
2010_A_97.txt,0.235294113,0.210526316,0.266666667,0.051724133,0.046875,0.057692308,0.229040453,0.210526316,0.266666667
,,,,,,,,,
2010_B_16.txt,0.218181814,0.382978723,0.152542373,0.1031746,0.228070175,0.066666667,0.157002728,0.361702128,0.144067797
,,,,,,,,,
2010_B_17.txt,0.283105018,0.344444444,0.240310078,0.14243323,0.210526316,0.107623318,0.258105101,0.333333333,0.23255814
,,,,,,,,,
2010_B_18.txt,0.13461538,0.120689655,0.152173913,0.01538461,0.01369863,0.01754386,0.131168618,0.120689655,0.152173913
,,,,,,,,,
2010_B_2.txt,0.287037033,0.449275362,0.210884354,0.117511517,0.22173913,0.079937304,0.221942339,0.427536232,0.200680272
,,,,,,,,,
2010_B_26.txt,0.293193712,0.311111111,0.277227723,0.087912083,0.104347826,0.075949367,0.228853391,0.244444444,0.217821782
,,,,,,,,,
2010_B_27.txt,0.143049929,0.095495495,0.284946237,0.036507933,0.024546425,0.07120743,0.096573497,0.09009009,0.268817204
,,,,,,,,,
2010_B_3.txt,0.164705878,0.3,0.113513514,0.037825056,0.086021505,0.024242424,0.099649793,0.242857143,0.091891892
,,,,,,,,,
2010_B_31.txt,0.308396942,0.215811966,0.540106952,0.116613414,0.084686775,0.187179487,0.20032016,0.183760684,0.459893048
,,,,,,,,,
2010_B_32.txt,0.168937326,0.106712565,0.405228758,0.047716425,0.029436501,0.125899281,0.097606104,0.092943201,0.352941176
,,,,,,,,,
2010_B_35.txt,0.241457854,0.221757322,0.265,0.062322941,0.061281337,0.063400576,0.188393555,0.175732218,0.21
,,,,,,,,,
2010_B_36.txt,0.244067792,0.342857143,0.189473684,0.075901324,0.135135135,0.052770449,0.211622722,0.342857143,0.189473684
,,,,,,,,,
2010_B_37.txt,0.209836062,0.376470588,0.145454545,0.070866138,0.165137615,0.045112782,0.138295393,0.329411765,0.127272727
,,,,,,,,,
2010_B_38.txt,0.369565213,0.451327434,0.312883436,0.193548382,0.263157895,0.153061224,0.34748211,0.451327434,0.312883436
,,,,,,,,,
2010_B_4.txt,0.172839503,0.111111111,0.388888889,0.047003522,0.029673591,0.11299435,0.089479793,0.084656085,0.296296296
,,,,,,,,,
2010_B_40.txt,0.169154225,0.117241379,0.303571429,0.022988502,0.015533981,0.044198895,0.112403198,0.103448276,0.267857143
,,,,,,,,,
2010_B_42.txt,0.244604312,0.34,0.191011236,0.034858383,0.053333333,0.025889968,0.18833836,0.3,0.168539326
,,,,,,,,,
